Company name,Role(s) relevant to me / that I should target,Salary (range or best estimate),ATS-friendliness score,CV fit score,Listing source,Glassdoor rating
JPMorganChase,Senior AI Product Manager (stretch); AI/product analyst roles in Bengaluru,INR 28L-65L CTC est.,70,66,"Official Oracle Cloud careers page lists Executive Director - Senior AI Product Manager, Bengaluru, Apply Now: https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210681293",3.9
Harness,"Senior Product Manager, Code / DevOps AI; Product Management roles",INR 30L-60L CTC est.,69,65,Harness careers page shows Product Management openings; third-party indexed listing shows Senior Product Manager in Bangalore and current remote Senior PM Code posting: https://www.harness.io/company/jobs,3.8
Databricks,"Staff Product Operations Manager, Bengaluru; Product/AI analytics-adjacent roles",INR 30L-65L CTC est.,72,68,Databricks careers page is live; Bengaluru product-operations role appears in job indexes and company open-position search: https://www.databricks.com/company/careers/open-positions,4.0
Zscaler,"Manager, Product Support; Global Escalation Specialist/Product Support path",INR 18L-35L CTC est.,76,71,"Greenhouse board lists Bangalore/Mohali openings including Manager, Product Support and Global Escalation Specialist, marked New/active: https://job-boards.greenhouse.io/zscaler/jobs/5088251007",3.7 est. positive; company generally above poor-review cutoff
Infor,"SCS Product Support Analyst, Associate",INR 6L-12L CTC est.,83,79,"Indeed/current job index lists SCS Product Support Analyst, Associate in Bengaluru; company careers should be checked before applying: https://careers.infor.com/",3.9
Talview,"Product Analyst Intern / Product Analyst, AI hiring assessment platform",INR 25K-50K/mo intern; INR 6L-12L CTC analyst est.,90,88,Current job index lists Product Analyst Intern in Bengaluru; Talview careers/company pages should be used for final apply confirmation: https://www.talview.com/careers,4.0 overall; 4.2 Bangalore
ProArch,"Product Analyst / Technical Product Analyst, cloud/AI services",INR 8L-16L CTC est.,80,76,Indeed/current job index lists Product Analyst in Bengaluru; company careers page for confirmation/application: https://www.proarch.com/careers/,4.0 overall; 4.2 Hyderabad
NetApp,"Technical Outbound Product Manager, Bengaluru; entry-level product/support programs as backup",INR 24L-50L CTC est.,76,72,"Official NetApp careers page lists Technical Outbound Product Manager, Bengaluru, with Product Managers/Engineering/Product Marketing collaboration: https://careers.netapp.com/job/bengaluru/technical-outbound-product-manager/27600/92602350976",4.0 est. positive
PayPal,"Lead Product Manager / Product Manager alerts, India technology centers",INR 28L-60L CTC est.,72,68,PayPal India careers page confirms Bangalore product/analytics/operations hiring; job index shows Lead Product Manager in Bangalore posted 3 weeks ago: https://careers.pypl.com/locations/india/,3.8 est. positive
Visa,"Product Analyst, Data Products; Product Manager/Data product roles",INR 20L-45L CTC est.,82,79,Visa Workday careers search is live with Bengaluru openings; Product Analyst/Data Products indexed with SaaS/BI/product-management requirements: https://visa.wd5.myworkdayjobs.com/Visa,4.0 est. positive
